name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Berkane,2025-04-01T00:00:00,49.1,47.8,38.1,65.71,0,0,,0,0,14.7,4.1,272,1013.6,84.8,9.6,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60338099999,60340099999,GMFO"
Berkane,2025-04-01T01:00:00,49.2,47.1,38.6,66.6,0,0,,0,0,7.2,5.3,241,1013.1,91,6.2,0,0,0,,Overcast,cloudy,"60115099999,60338099999,60340099999,GMFO"
Berkane,2025-04-01T02:00:00,49.8,47.7,39.8,68.43,0,0,,0,0,7.4,5.6,225,1012.3,94.3,6.2,0,0,0,,Overcast,cloudy,"60115099999,60338099999,60340099999,GMFO"
Berkane,2025-04-01T03:00:00,51,51,40.2,66.39,0,0,,0,0,9.2,6.4,211,1012.6,40,9.6,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60338099999,60340099999,GMFO"
Berkane,2025-04-01T04:00:00,51.2,51.2,40.5,66.56,0,0,,0,0,6.9,4.9,299,1011.9,87.3,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60338099999,60340099999,GMFO"
Berkane,2025-04-01T05:00:00,49.5,49.5,40.3,70.39,0,0,,0,0,6.9,1.4,182,1011.1,79.5,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60338099999,60340099999,GMFO"
Berkane,2025-04-01T06:00:00,49.6,49.2,41.2,72.63,0,0,,0,0,9.2,3,219,1011.5,63,10.5,0,0,0,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,60338099999,60340099999,60517099999,GMFO"
Berkane,2025-04-01T07:00:00,53,53,42.6,67.73,0,0,,0,0,6.5,2.6,316,1011.1,87,6.2,62.3,0.2,1,,Partially cloudy,partly-cloudy-day,"60115099999,60338099999,60340099999,GMFO"
Berkane,2025-04-01T08:00:00,56,56,44,64.14,0,0,,0,0,7.2,1.9,263,1011.1,90.3,6.2,238.5,0.9,2,,Overcast,cloudy,"60115099999,60338099999,60340099999,GMFO"
Berkane,2025-04-01T09:00:00,62.1,62.1,45,53.45,0,0,,0,0,6.9,2.4,333,1011.1,57.6,10.2,458.3,1.6,5,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,60338099999,60340099999,60517099999,GMFO"
Berkane,2025-04-01T10:00:00,66,66,41.9,41.45,0,0,,0,0,12.8,8.3,350,1011.1,84.9,6.2,645.4,2.3,6,,Partially cloudy,partly-cloudy-day,"60115099999,60338099999,60340099999,GMFO"
Berkane,2025-04-01T11:00:00,66.4,66.4,45.9,47.47,0,0,,0,0,17.2,12.7,330,1010.4,76.7,6.2,780.6,2.8,8,,Partially cloudy,partly-cloudy-day,"60115099999,60338099999,60340099999,GMFO"
