name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
driouch,2025-02-01T00:00:00,49,47.3,43.9,82.61,0,0,,0,0,5.4,4.6,253,1027.6,27.5,5.6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,GMTA,60338099999,60107099999,GEML,60340099999"
driouch,2025-02-01T01:00:00,48,46.1,43,82.62,0,0,,0,0,8.5,4.8,249,1028.3,42.3,6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,GMTA,60338099999,60107099999,GEML,60340099999"
driouch,2025-02-01T02:00:00,45.9,43.2,42,86.1,0,0,,0,0,6.5,5.3,228,1027.4,0,5.6,0,0,0,,Clear,clear-night,"GMMW,GMTA,60338099999,60107099999,GEML,60340099999"
driouch,2025-02-01T03:00:00,45.1,42.8,40.3,83.15,0,0,,0,0,7.4,4.6,260,1027.4,0,5.6,0,0,0,,Clear,clear-night,"GMMW,GMTA,60338099999,60107099999,GEML,60340099999"
driouch,2025-02-01T04:00:00,44.2,40.9,39.8,84.42,0,0,,0,0,8.5,5.8,228,1027.3,40,6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,GMTA,60338099999,60107099999,GEML,60340099999"
driouch,2025-02-01T05:00:00,44.4,41.2,40.5,86.08,0,0,,0,0,7.6,5.8,247,1026.1,0,5.6,0,0,0,,Clear,clear-night,"GMMW,GMTA,60338099999,60107099999,GEML,60340099999"
driouch,2025-02-01T06:00:00,44.3,41.1,39.3,82.46,0,0,,0,0,8.3,5.5,249,1025.5,0,5.6,0,0,0,,Clear,clear-night,"GMMW,GMTA,60338099999,60107099999,GEML,60340099999"
driouch,2025-02-01T07:00:00,44.4,41.1,37.6,76.73,0,0,,0,0,10.9,5.8,238,1026.1,22.7,7.4,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,GMTA,60338099999,60107099999,GEML,60340099999"
driouch,2025-02-01T08:00:00,42.7,41,36.6,78.96,0,0,,0,0,8.7,3.4,208,1025.4,50,5.6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,GMTA,60338099999,60107099999,GEML,60340099999"
driouch,2025-02-01T09:00:00,43.9,41.2,36.5,74.93,0,0,,0,0,9.8,4.9,258,1026,27.5,5.6,33.1,0.1,0,,Partially cloudy,partly-cloudy-day,"GMMW,GMTA,60338099999,60107099999,GEML,60340099999"
