name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Guercif,2025-04-01T00:00:00,59.1,59.1,37.1,43.89,0,0,,0,0,8.1,3.1,225.2,1014,81.9,15,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
Guercif,2025-04-01T01:00:00,59.1,59.1,42,53.03,0,0,,0,0,10.3,5.1,235,1013,47.8,15,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
Guercif,2025-04-01T02:00:00,58.2,58.2,47,66.36,0,0,,0,0,11,5.4,239.9,1013,46.6,15,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
Guercif,2025-04-01T03:00:00,56.2,56.2,48.5,75.22,0,0,,0,0,10.1,4.5,235.6,1012,61.5,15,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
Guercif,2025-04-01T04:00:00,56,56,49.2,77.78,0,0,,0,0,8.5,4,229.8,1012,72.1,15,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
Guercif,2025-04-01T05:00:00,55.3,55.3,49.2,79.83,0,0,,0,0,7.2,3.4,231.2,1012,77.7,15,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
Guercif,2025-04-01T06:00:00,55.1,55.1,49,79.82,0,0,,0,0,5.8,2.2,227.1,1011,86.4,15,0,0,0,10,Partially cloudy,partly-cloudy-night,remote
Guercif,2025-04-01T07:00:00,55.8,55.8,48.8,77.24,0,0,,0,0,4.5,1.1,235.3,1012,91.4,15,50.3,0.2,1,10,Overcast,cloudy,remote
Guercif,2025-04-01T08:00:00,59.1,59.1,50.4,73.01,0,0,,0,0,5.6,1.3,272.9,1012,84.9,15,209.5,0.8,2,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-01T09:00:00,60.5,60.5,51.5,72.19,0,0,,0,0,8.3,2.2,294.9,1011,66.6,15,422.6,1.5,4,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-01T10:00:00,64.8,64.8,52.4,64.1,0,0,,0,0,11,2.5,317.2,1011,39.8,15,646,2.3,6,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-01T11:00:00,67.2,67.2,51,56.05,0,0,,0,0,13.4,4.3,344,1011,1.1,15,809.4,2.9,8,10,Clear,clear-day,remote
Guercif,2025-04-01T12:00:00,70.1,70.1,49,47.17,0,0,,0,0,16.1,6,359.3,1009,11.1,15,892.7,3.2,9,10,Clear,clear-day,remote
Guercif,2025-04-01T13:00:00,72.2,72.2,48.3,42.67,0,0,,0,0,16.8,7.4,356,1009,30.7,15,819.9,3,8,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-01T14:00:00,73.5,73.5,47.9,40.35,0,0,,0,0,16.8,8.1,326.9,1008,80.6,15,737.9,2.7,7,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-01T15:00:00,68.8,68.8,51.7,54.44,0.079,100,rain,0,0,20.6,9.4,315.6,1009,88.7,15,518.4,1.9,5,10,"Rain, Partially cloudy",rain,remote
Guercif,2025-04-01T16:00:00,66.3,66.3,53.7,63.86,0.063,100,rain,0,0,21.9,7.6,317.8,1008,98.7,15,285.9,1,3,10,"Rain, Overcast",rain,remote
Guercif,2025-04-01T17:00:00,66.1,66.1,54.1,65.11,0.008,100,rain,0,0,19.2,6,307.7,1008,95.6,15,125.3,0.5,1,10,"Rain, Overcast",rain,remote
Guercif,2025-04-01T18:00:00,65.4,65.4,53.1,64.6,0.004,100,rain,0,0,15.2,7.6,291.6,1009,97.1,15,47.7,0.2,0,10,"Rain, Overcast",rain,remote
Guercif,2025-04-01T19:00:00,64.7,64.7,53.1,66.24,0,0,,0,0,14.1,7.2,301.2,1009,72.6,14.2,7.1,0,0,10,Partially cloudy,partly-cloudy-night,remote
Guercif,2025-04-01T20:00:00,63.6,63.6,53.3,69.24,0,0,,0,0,12.5,4,290.1,1009,24.9,13,0,0,0,3,Partially cloudy,partly-cloudy-night,remote
Guercif,2025-04-01T21:00:00,62.1,62.1,52.4,70.47,0,0,,0,0,7.4,2.9,232.5,1009,12.9,15,0,0,0,3,Clear,clear-night,remote
Guercif,2025-04-01T22:00:00,60.5,60.5,52.1,73.64,0,0,,0,0,5.6,2.5,222.8,1008,1,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-01T23:00:00,59.8,59.8,50.4,71.16,0,0,,0,0,6.3,2.7,201.9,1008,0,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-02T00:00:00,58.2,58.2,49.7,73.41,0,0,,0,0,7.2,2.9,192.3,1008,0.4,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-02T01:00:00,57.1,57.1,48.5,72.81,0,0,,0,0,7.4,2.9,193.1,1007,0.4,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-02T02:00:00,56.6,56.6,47.6,71.78,0,0,,0,0,7.6,2.9,200.3,1007,0,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-02T03:00:00,56.2,56.2,46.5,69.83,0,0,,0,0,7.8,3.1,207.4,1006,0,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-02T04:00:00,55.8,55.8,46.5,70.74,0,0,,0,0,8.3,2.9,209.3,1006,0,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-02T05:00:00,55.1,55.1,46.5,72.61,0,0,,0,0,8.5,2.9,206.4,1006,0.7,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-02T06:00:00,54.9,54.9,46.8,74.09,0,0,,0,0,8.7,2.9,205,1006,0.4,15,0,0,0,10,Clear,clear-day,remote
Guercif,2025-04-02T07:00:00,55.7,55.7,47,72.67,0,0,,0,0,8.7,3.8,186,1006,1.1,15,63.2,0.2,1,10,Clear,clear-day,remote
Guercif,2025-04-02T08:00:00,61.1,61.1,49.4,65.37,0,0,,0,0,8.9,2.9,204.6,1007,1.4,15,264.4,1,3,10,Clear,clear-day,remote
Guercif,2025-04-02T09:00:00,63.4,63.4,49,59.39,0,0,,0,0,9.2,2.7,243.8,1007,0,15,484,1.7,5,10,Clear,clear-day,remote
Guercif,2025-04-02T10:00:00,66.1,66.1,50.6,57.41,0,0,,0,0,11,4.9,266.6,1007,0.4,15,674.8,2.4,7,10,Clear,clear-day,remote
Guercif,2025-04-02T11:00:00,68.3,68.3,51.2,54.36,0,0,,0,0,12.5,4.5,273.8,1006,1.4,15,821.2,3,8,10,Clear,clear-day,remote
Guercif,2025-04-02T12:00:00,70.1,70.1,50.1,49.11,0,0,,0,0,14.8,4.7,284.1,1005,8.9,15,901.9,3.2,9,10,Clear,clear-day,remote
Guercif,2025-04-02T13:00:00,70.8,70.8,51,49.55,0,0,,0,0,17.4,5.6,302.4,1005,36.4,15,925.5,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-02T14:00:00,71.9,71.9,50.6,47.13,0,0,,0,0,18.8,6.7,325.4,1004,24.5,15,791.6,2.8,8,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-02T15:00:00,72.8,72.8,49.5,43.92,0,0,,0,0,19.7,8.7,329.8,1004,19.3,15,715.9,2.6,7,10,Clear,clear-day,remote
Guercif,2025-04-02T16:00:00,73.8,73.8,48.3,40.41,0,0,,0,0,20.4,9.6,324.2,1003,10.6,15,556.7,2,6,10,Clear,clear-day,remote
Guercif,2025-04-02T17:00:00,72.9,72.9,47.7,40.82,0,0,,0,0,20.4,9.8,326.8,1004,11.5,15,357.2,1.3,4,10,Clear,clear-day,remote
Guercif,2025-04-02T18:00:00,71.9,71.9,48.1,42.91,0,0,,0,0,17.9,10.1,350.1,1004,8.3,15,157.2,0.6,2,10,Clear,clear-day,remote
Guercif,2025-04-02T19:00:00,69.2,69.2,47,45.17,0,0,,0,0,20.1,10.1,16,1005,4.5,15,15.4,0.1,0,10,Clear,clear-night,remote
Guercif,2025-04-02T20:00:00,67.6,67.6,48.8,51.09,0,0,,0,0,17.7,8.5,23.8,1006,3.1,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-02T21:00:00,63.6,63.6,49.7,60.62,0,0,,0,0,14.5,6.3,11.6,1007,0.4,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-02T22:00:00,60.3,60.3,53.1,77.12,0,0,,0,0,11,4.9,357.6,1008,0.4,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-02T23:00:00,58.9,58.9,53,80.64,0,0,,0,0,7.4,4.7,16.6,1008,1.1,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-03T00:00:00,58,58,52.1,80.58,0,0,,0,0,6.5,3.6,35.8,1008,0,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-03T01:00:00,56.7,56.7,51.7,83.2,0,0,,0,0,5.6,2.9,350.9,1008,0.6,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-03T02:00:00,56,56,51.5,84.83,0,0,,0,0,5.1,2.7,295.4,1008,8.2,15,0,0,0,10,Clear,clear-night,remote
Guercif,2025-04-03T03:00:00,55.8,55.8,51.3,84.82,0.004,100,rain,0,0,5.6,3.4,273.2,1008,18.9,15,0,0,0,10,Rain,rain,remote
Guercif,2025-04-03T04:00:00,55.8,55.8,51,83.7,0.004,100,rain,0,0,6.3,3.6,259.8,1009,37.8,15,0,0,0,10,"Rain, Partially cloudy",rain,remote
Guercif,2025-04-03T05:00:00,55.7,55.7,51.2,84.81,0.004,100,rain,0,0,6.3,3.6,245.6,1009,37.8,15,0,0,0,10,"Rain, Partially cloudy",rain,remote
Guercif,2025-04-03T06:00:00,56.2,56.2,51.2,83.17,0,0,,0,0,5.6,3.1,233.5,1009,43.7,15,0,0,0,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-03T07:00:00,55.8,55.8,51,83.7,0,0,,0,0,5.6,2.5,219.4,1010,45.9,15,55.8,0.2,1,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-03T08:00:00,59.4,59.4,52.1,76.53,0,0,,0,0,6,2,245.1,1010,36,15,195.6,0.7,2,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-03T09:00:00,60.2,60.2,52.2,75.09,0,0,,0,0,8.1,1.6,297.6,1011,39.5,15,413,1.5,4,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-03T10:00:00,64.5,64.5,51.9,63.64,0,0,,0,0,8.9,1.6,0.8,1010,83,15,549.3,2,5,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-03T11:00:00,65.4,65.4,51.5,60.86,0,0,,0,0,9.2,1.3,359.5,1010,59.8,15,660.1,2.4,7,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-03T12:00:00,67.6,67.6,51.3,56.1,0,0,,0,0,12.5,3.8,356.6,1009,56.2,15,793.6,2.9,8,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-03T13:00:00,68.8,68.8,51.2,53.37,0,0,,0,0,15.4,6.5,1.2,1008,50.1,15,914,3.3,9,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-03T14:00:00,70.4,70.4,49.7,47.87,0,0,,0,0,17,9.2,5.7,1007,49.2,15,824.2,3,8,10,Partially cloudy,partly-cloudy-day,remote
Guercif,2025-04-03T15:00:00,73.3,73.3,49.7,43.42,0,0,,0,0,17.9,9.8,15.1,1006,13.6,15,758.7,2.7,8,10,Clear,clear-day,remote
