name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
jerada,2025-03-01T00:00:00,50.3,50.3,46.5,86.82,0.157,100,rain,0,0,30,17.2,240,1012.3,93.9,7.7,0,0,0,,"Rain, Overcast",rain,"60115099999,GMFO"
jerada,2025-03-01T01:00:00,51.8,51.8,46.4,81.75,0,0,,0,0,15.4,3.4,170,1011,89,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,GMFO"
jerada,2025-03-01T02:00:00,50,47.8,46.4,87.38,0,0,,0,0,16.3,5.8,270,1011,89,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,GMFO"
jerada,2025-03-01T03:00:00,50.1,50.1,46.5,87.39,0,0,,0,0,14.5,6.9,220,1010.2,93.9,7.7,0,0,0,,Overcast,cloudy,"60115099999,GMFO"
jerada,2025-03-01T04:00:00,48.2,45.6,46.4,93.45,0,0,,0,0,13.2,5.8,250,1009,89,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,GMFO"
jerada,2025-03-01T05:00:00,48.2,45,44.6,87.29,0,0,,0,0,11.9,6.9,270,1009,50,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,GMFO"
jerada,2025-03-01T06:00:00,46.3,43.3,43.2,88.74,0.067,100,rain,0,0,16.1,6,214,1010.1,51,7.3,0,0,0,,"Rain, Partially cloudy",rain,"60115099999,60522099999,GMFO"
jerada,2025-03-01T07:00:00,46.4,42.4,42.8,87.19,0,0,,0,0,6.3,8.1,200,1010,50,6.2,3.2,0,0,,Partially cloudy,partly-cloudy-day,"60115099999,GMFO"
jerada,2025-03-01T08:00:00,48.2,42.9,44.6,87.29,0,0,,0,0,8.9,12.8,230,1011,50,6.2,78.3,0.3,1,,Partially cloudy,partly-cloudy-day,"60115099999,GMFO"
jerada,2025-03-01T09:00:00,51.6,51.6,46.3,82.07,0,0,,0,0,12.5,5.3,236,1011.9,75.8,9.3,165.6,0.6,2,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,GMFO"
jerada,2025-03-01T10:00:00,55.4,55.4,44.6,66.93,0,0,,0,0,17,8.1,280,1011,50,6.2,259.5,0.9,3,,Partially cloudy,partly-cloudy-day,"60115099999,GMFO"
jerada,2025-03-01T11:00:00,57.2,57.2,46.4,67.15,0,0,,0,0,21.7,8.1,260,1011,50,6.2,447.3,1.6,4,,Partially cloudy,partly-cloudy-day,"60115099999,GMFO"
jerada,2025-03-01T12:00:00,56.6,56.6,45.8,67.12,0,0,,0,0,18.3,6.6,308,1011.6,89.2,9.3,545.8,2,5,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,GMFO"
jerada,2025-03-01T13:00:00,53.6,53.6,48.2,81.88,0,0,,0,0,24.8,18.3,340,1011,89,6.2,502.5,1.8,5,,Partially cloudy,partly-cloudy-day,"60115099999,GMFO"
jerada,2025-03-01T14:00:00,55.4,55.4,48.2,76.68,0,0,,0,0,26.2,17.2,340,1011,89,6.2,542.5,2,5,,Partially cloudy,partly-cloudy-day,"60115099999,GMFO"
jerada,2025-03-01T15:00:00,55.2,55.2,48.4,77.88,0,0,,0,0,26.2,14.3,343,1011.3,63.4,9.3,377.3,1.4,4,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,GMFO"
jerada,2025-03-01T16:00:00,55.4,55.4,48.2,76.68,0,0,,0,0,25.5,12.8,350,1011,89,6.2,233.9,0.8,2,,Partially cloudy,partly-cloudy-day,"60115099999,GMFO"
jerada,2025-03-01T17:00:00,53.6,53.6,48.2,81.88,0,0,,0,0,24.4,13.9,340,1012,89,6.2,130.8,0.5,1,,Partially cloudy,partly-cloudy-day,"60115099999,GMFO"
jerada,2025-03-01T18:00:00,51.9,51.9,47.9,85.96,0,0,,0,0,24.2,9.6,353,1013.6,89.2,9.3,30.6,0.1,0,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,GMFO"
jerada,2025-03-01T19:00:00,51.8,51.8,48.2,87.48,0,0,,0,0,10.7,10.3,10,1014,89,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,GMFO"
jerada,2025-03-01T20:00:00,50,50,48.2,93.5,0,0,,0,0,7.8,2.2,340.7,1014,89,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,GMFO"
jerada,2025-03-01T21:00:00,49.6,49.6,47.8,93.49,0,0,,0,0,5.6,2.2,170,1014.6,84.1,9.3,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,GMFO"
