name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
nador,2025-03-01T00:00:00,55.3,55.3,53.5,93.94,0.001,100,rain,0,0,9.2,5.4,339,1012,56.4,5.7,0,0,0,,"Rain, Partially cloudy",rain,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T01:00:00,54.8,54.8,53,93.88,0,0,,0,0,10.7,1.3,276,1011.4,32.6,5.7,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T02:00:00,53.3,53.3,51.6,93.85,0,0,,0,0,11,0.7,286,1011.1,50,5.8,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T03:00:00,51.9,51.9,49.8,92.26,0,0,,0,0,8.1,4.9,259,1010.3,71.2,5.8,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T04:00:00,50.4,50.4,49.6,96.94,0,0,,0,0,15.7,2.9,330,1009.4,50,5.8,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T05:00:00,51.3,51.3,48.5,90.09,0,0,,0,0,19.7,5,258,1010,50,5.8,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T06:00:00,53.3,53.3,49.3,86.24,0.247,100,rain,0,0,8.1,7.6,269,1010.2,43.5,12.1,0,0,0,,"Rain, Partially cloudy",rain,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T07:00:00,53.3,53.3,50.4,89.68,0,0,,0,0,18.6,7.2,268,1010.2,69.7,6,1.9,0,0,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T08:00:00,53.7,53.7,51,90.57,0.096,100,rain,0,0,21.3,5.5,310,1011.3,76.5,6,62.7,0.2,1,,"Rain, Partially cloudy",rain,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T09:00:00,56.3,56.3,52.4,86.67,0,0,,0,0,10.3,7.4,304,1011.6,82,12.3,150,0.5,2,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T10:00:00,55.8,55.8,51.9,86.77,0,0,,0,0,24.4,6.9,302,1012.3,76.5,6,201.5,0.7,2,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T11:00:00,57.1,57.1,51.7,82.25,0,0,,0,0,28,6.5,314,1012.4,76.5,6,221.5,0.8,2,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T12:00:00,57.3,57.3,51.9,82.19,0,0,,0,0,20.8,7.3,291,1012.3,82.9,14.8,190.4,0.7,2,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T13:00:00,57.4,57.4,51.7,81.18,0,0,,0,0,31.5,9.1,305,1012,50,6,130.7,0.5,1,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T14:00:00,58.4,58.4,50.2,74.24,0,0,,0,0,30.2,9.1,314,1011.4,76.5,6,182.9,0.7,2,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T15:00:00,60.3,60.3,49.9,68.43,0,0,,0,0,19.7,10.6,312,1011.4,67.2,16.1,168.5,0.6,2,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T16:00:00,58.7,58.7,50.1,73.1,0,0,,0,0,25.1,7.7,307,1011.9,76.5,6,138,0.5,1,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T17:00:00,58.5,58.5,51,76.04,0,0,,0,0,21.3,5.2,304,1012.3,76.5,6,47.3,0.2,0,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T18:00:00,58.1,58.1,51,77.35,0,0,,0,0,19.7,3.9,301,1013.3,84.8,14.8,21.6,0.1,0,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T19:00:00,57.8,57.8,51.3,78.88,0,0,,0,0,7.6,1.9,323,1014,76.5,6,0.1,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T20:00:00,56.9,56.9,51.5,82.12,0,0,,0,0,5.8,0.7,296,1014.4,50,6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T21:00:00,56.7,56.7,51.4,82.42,0,0,,0,0,10.3,3.4,33,1015,72.7,11,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T22:00:00,56.6,56.6,51.7,83.75,0,0,,0,0,5.4,0.9,323,1015,76.5,6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-01T23:00:00,55.9,55.9,51.3,84.49,0,0,,0,0,4,0.9,49,1015,76.5,6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T00:00:00,55.9,55.9,51.7,85.74,0,0,,0,0,4.7,1.1,329,1015,78.1,6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T01:00:00,54.4,54.4,51.2,88.91,0,0,,0,0,6,1.1,301,1014.4,71.5,6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T02:00:00,53.5,53.5,50.9,90.91,0,0,,0,0,6.3,2.3,284,1014.3,71.5,6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T03:00:00,53.2,53.2,50.7,91.45,0,0,,0,0,6.9,3.7,310,1014.1,88.8,5.5,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T04:00:00,53.2,53.2,50.4,90.31,0,0,,0,0,5.8,3.2,255,1014,81.3,6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T05:00:00,53.3,53.3,51.7,94.1,0,0,,0,0,5.6,0.9,301,1013.4,81.3,6,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T06:00:00,52.8,52.8,51.2,94.39,0,0,,0,0,4.7,1.9,284,1013.6,89,9.8,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T07:00:00,52.8,52.8,50.4,91.53,0,0,,0,0,6.3,1.3,344,1013.4,71.5,6,3,0,0,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T08:00:00,54.8,54.8,52.2,90.96,0,0,,0,0,7.4,1.1,27,1014.4,25,6.2,91.9,0.3,1,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T09:00:00,57.3,57.3,50.2,76.98,0,0,,0,0,5.8,5.8,167,1014.6,57.5,13.8,281.7,1,3,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T10:00:00,60.4,60.4,49.4,66.94,0,0,,0,0,11.9,6.7,119,1014.4,81.1,6.2,426.5,1.5,4,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T11:00:00,61.5,61.5,48.3,61.83,0,0,,0,0,15.9,9.4,112,1014.1,65.8,6.2,512.2,1.8,5,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T12:00:00,62.2,62.2,47.4,58.4,0,0,,0,0,15,9.2,107,1014,82.4,13.8,539.4,1.9,5,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T13:00:00,61.3,61.3,50.9,68.43,0,0,,0,0,22.1,10,79,1013.1,25,6.2,549.2,2,5,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T14:00:00,61.2,61.2,52.7,73.39,0,0,,0,0,24.6,9.8,83,1012.9,25,6.2,509.5,1.8,5,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T15:00:00,62.3,62.3,52.8,70.9,0,0,,0,0,20.8,10,91,1012.2,82.4,13.8,409.9,1.5,4,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T16:00:00,62,62,51.5,68.54,0,0,,0,0,26.8,11.1,83,1012.1,29.9,6.2,349.5,1.3,3,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T17:00:00,60.3,60.3,53.4,77.86,0,0,,0,0,27.3,9.3,76,1012.2,50,6.2,249.7,0.9,2,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T18:00:00,59.6,59.6,53.5,80.14,0,0,,0,0,21.9,9.4,75,1013,37.6,11.3,73.3,0.3,1,,Partially cloudy,partly-cloudy-day,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T19:00:00,58.6,58.6,53.2,82.23,0,0,,0,0,22.4,6.2,92,1012.8,29.2,6.2,0.2,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,GEML"
nador,2025-03-02T20:00:00,59.8,59.8,55.1,84.41,0,0,,0,0,18.6,8.6,101,1013.9,76.5,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
nador,2025-03-02T21:00:00,59.9,59.9,56.3,87.88,0,0,,0,0,19.7,8.5,75,1014,77.9,11.3,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60338099999,GEML,60340099999"
