name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
oujda,2025-03-01T00:00:00,50.5,50.5,46.6,86.42,0.151,100,rain,0,0,30,16.8,239,1012.3,92.8,7.6,0,0,0,,"Rain, Overcast",rain,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T01:00:00,51.9,51.9,46.5,81.5,0,0,,0,0,12.1,3.9,172,1011,88.1,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T02:00:00,50.1,50.1,46.4,86.93,0,0,,0,0,12.3,6.1,267,1011,88.1,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T03:00:00,50.2,50.2,46.5,86.86,0,0,,0,0,11.4,6.9,219,1010.2,92.8,7.6,0,0,0,,Overcast,cloudy,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T04:00:00,48.3,45.8,46.4,92.94,0,0,,0,0,11.9,5.8,249,1009,88.1,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T05:00:00,48.3,45.3,44.7,87.29,0,0,,0,0,11.6,6.7,272,1009,50,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T06:00:00,46.7,43.5,43.3,88.17,0.045,100,rain,0,0,16.1,6.3,200,1009.9,52.4,7.4,0,0,0,,"Rain, Partially cloudy",rain,"60115099999,60522099999,60531099999,DAON,GMFO,60517099999"
oujda,2025-03-01T07:00:00,46.6,42.6,42.9,86.9,0,0,,0,0,9.8,8,198,1010,50,6.2,3.5,0,0,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T08:00:00,48.4,43.2,44.6,86.78,0,0,,0,0,11,12.6,230,1011,50,6.2,100.9,0.4,1,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T09:00:00,51.9,51.9,46.4,81.48,0,0,,0,0,11.9,5.1,226,1011.6,74.6,9,233.4,0.8,2,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,60531099999,DAON,GMFO,60517099999"
oujda,2025-03-01T10:00:00,55.5,55.5,44.7,67,0,0,,0,0,14.8,8.3,278,1011,50,6.2,443.6,1.6,4,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T11:00:00,57.3,57.3,46.4,66.77,0,0,,0,0,19.5,8.2,259,1011,50,6.2,559.1,2,6,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T12:00:00,57,57,45.5,65.39,0,0,,0,0,18.3,6.9,301,1011.4,88.2,9,535.8,1.9,5,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,60531099999,DAON,GMFO,60517099999"
oujda,2025-03-01T13:00:00,53.8,53.8,48.2,81.28,0,0,,0,0,22.6,18.1,337,1011,88.1,6.2,431.3,1.6,4,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T14:00:00,55.5,55.5,48.2,76.41,0,0,,0,0,24.4,16.9,337,1011,88.1,6.2,393.5,1.4,4,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T15:00:00,55.4,55.4,48.4,77.27,0,0,,0,0,24.2,14.8,338,1011.1,63.3,9,266,1,3,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,60531099999,DAON,GMFO,60517099999"
oujda,2025-03-01T16:00:00,55.5,55.5,48.1,76.07,0,0,,0,0,22.6,12.6,346,1011,88.1,6.2,164.3,0.6,2,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T17:00:00,53.7,53.7,48.1,81.21,0,0,,0,0,22.4,13.5,337,1012,88.1,6.2,102,0.4,1,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T18:00:00,52.1,52.1,48.1,86.32,0,0,,0,0,24.2,10.1,349,1013.3,88.4,9,23,0.1,0,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,60531099999,DAON,GMFO,60517099999"
oujda,2025-03-01T19:00:00,51.9,51.9,48.2,87.02,0,0,,0,0,9.6,10.1,6,1014,88.1,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T20:00:00,50.1,50.1,48.2,92.94,0,0,,0,0,5.6,2.3,270,1014,88.1,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T21:00:00,49.7,49.7,47.8,93,0,0,,0,0,3.4,2.3,175,1014.6,83.5,9,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T22:00:00,48.3,47.4,46.4,92.98,0,0,,0,0,3.8,3.4,220,1014.1,88.1,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-01T23:00:00,46.6,45.4,44.7,92.92,0,0,,0,0,4.3,3.4,200,1015,50,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T00:00:00,46.6,45.5,46.2,98.45,0,0,,0,0,15,3.4,181,1014.8,50,7.6,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T01:00:00,46.5,45.4,44.7,93.11,0,0,,0,0,4.9,3.4,228,1014.1,50,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T02:00:00,44.8,41.7,44.7,99.45,0,0,,0,0,5.1,5.7,270,1014,50,5,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T03:00:00,43,39.5,42.5,98.24,0,0,,0,0,6.3,5.8,215,1014.7,45.4,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T04:00:00,42.9,38.2,42.9,99.72,0,0,,0,0,6.9,7.9,223,1013,50,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T05:00:00,41.2,41.2,39.3,92.99,0,0,,0,0,6.9,1.3,110,1014,50,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T06:00:00,42.3,39.6,40.4,92.87,0.005,100,rain,0,0,9.2,4.4,232,1014.4,29.7,7.4,0,0,0,,"Rain, Partially cloudy",rain,"60115099999,60522099999,60531099999,DAON,GMFO,60517099999"
oujda,2025-03-02T07:00:00,42.9,41.2,41.1,93.3,0,0,,0,0,9.2,3.4,176,1014,27.5,6.2,5.5,0,0,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T08:00:00,46.5,46.5,44.6,93.15,0,0,,0,0,11.6,2.2,59,1015,88.1,6.2,120.8,0.4,1,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T09:00:00,53,53,43.6,70.52,0,0,,0,0,11.9,2.3,134,1015.5,80.6,9.2,334.4,1.2,3,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,60531099999,DAON,GMFO,60517099999"
oujda,2025-03-02T10:00:00,55.4,55.4,44.7,67.08,0,0,,0,0,12.1,5.7,70,1015,88.9,6.2,511.1,1.8,5,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,GMFO"
oujda,2025-03-02T11:00:00,59,59,44.7,59.21,0,0,,0,0,17,5.7,90,1014,88.1,6.2,612.6,2.2,6,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T12:00:00,61.1,61.1,45.2,55.74,0,0,,0,0,10.3,5,76,1014,71.5,9.2,634,2.3,6,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,60531099999,DAON,GMFO,60517099999"
oujda,2025-03-02T13:00:00,64.4,64.4,43,45.62,0,0,,0,0,16.8,9,47,1012,50,6.2,715.8,2.6,7,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T14:00:00,66.2,66.2,44.7,45.76,0,0,,0,0,15.2,8,85,1012,88.1,6.2,702.8,2.5,7,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T15:00:00,67.4,67.4,44.3,43.38,0,0,,0,0,14.5,6.2,101,1011,50.3,10.3,534.6,1.9,5,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,60531099999,DAON,GMFO,60517099999"
oujda,2025-03-02T16:00:00,67.9,67.9,43.1,40.68,0,0,,0,0,13.4,9.1,85,1011,49.5,6.2,365.7,1.3,4,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T17:00:00,64.5,64.5,46.5,51.89,0,0,,0,0,10.5,10.2,68,1011,27.4,6.2,222.3,0.8,2,,Partially cloudy,partly-cloudy-day,"60115099999,60531099999,DAON,GMFO"
oujda,2025-03-02T18:00:00,61.3,61.3,48.5,62.82,0,0,,0,0,16.1,9.4,66,1011.4,35.4,9.2,69.6,0.3,1,,Partially cloudy,partly-cloudy-day,"60115099999,60522099999,60531099999,DAON,GMFO,60517099999"
oujda,2025-03-02T19:00:00,57.3,57.3,49.9,76.44,0,0,,0,0,8.3,5.7,303,1012,25,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"DAON,GMFO"
