name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Taourirt,2025-04-01T00:00:00,48.3,47.4,44.9,87.88,0,0,,0,0,5.8,3.4,255,1013.3,88.5,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-01T01:00:00,46.4,42.9,44.6,93.4,0,0,,0,0,6,6.9,240,1013,69.1,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-01T02:00:00,50,47.2,44.6,81.62,0,0,,0,0,6.7,6.9,230,1013,49.3,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-01T03:00:00,49.8,47,46,86.79,0,0,,0,0,9.2,6.9,220,1012.2,57.4,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-01T04:00:00,51.8,51.8,48.2,87.48,0,0,,0,0,5.1,8.1,240,1011,69.6,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-01T05:00:00,50,49.4,48.2,93.5,0,0,,0,0,3.8,3.4,200,1011,82.2,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-01T06:00:00,48.7,48.7,46.5,91.93,0,0,,0,0,9.2,2.8,320,1011.1,50,6.2,0,0,0,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-01T07:00:00,48.2,45.6,46.4,93.45,0,0,,0,0,3.4,5.8,280,1011,90.3,6.2,57.7,0.2,1,,Overcast,cloudy,"GMMW,60340099999"
Taourirt,2025-04-01T08:00:00,55.4,55.4,51.8,87.66,0,0,,0,0,5.4,4.7,240,1011,89.7,6.2,216.2,0.8,2,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-01T09:00:00,59.4,59.4,51.4,74.82,0,0,,0,0,6.9,4.7,285,1011,50,6.2,428.2,1.5,4,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-01T10:00:00,64.4,64.4,48.2,55.66,0,0,,0,0,9.6,6.9,350,1011,57,6.2,618.4,2.2,6,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-01T11:00:00,66.2,66.2,48.2,52.28,0,0,,0,0,13,12.8,330,1011,6.2,6.2,806.9,2.9,8,,Clear,clear-day,"GMMW,60340099999"
Taourirt,2025-04-01T12:00:00,67.8,67.8,48.2,49.43,0,0,,0,0,25.3,13.2,320,1010,50,6.2,910.2,3.3,9,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-01T13:00:00,68,68,50,52.54,0,0,,0,0,20.8,17.2,320,1010,14.5,6.2,870.5,3.1,9,,Clear,clear-day,"GMMW,60340099999"
Taourirt,2025-04-01T14:00:00,68,68,51.8,56.16,0,0,,0,0,23.5,17.2,330,1009,52.1,6.2,780.6,2.8,8,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-01T15:00:00,67.8,67.8,52.1,57.06,0,0,,0,0,24.2,15,335,1008.6,50,6.2,564.4,2,6,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-01T16:00:00,66.2,66.2,50,55.91,0,0,,0,0,25.3,13.9,330,1008,27.4,6.2,304.4,1.1,3,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-01T17:00:00,66.2,66.2,48.2,52.28,0,0,,0,0,21.7,11.4,330,1008,27.4,6.2,140.3,0.5,1,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-01T18:00:00,65.8,65.8,47.8,52.05,0,0,,0,0,19.7,6.9,330,1007.9,27.4,6.2,73,0.3,1,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-01T19:00:00,64.4,64.4,50,59.52,0,0,,0,0,9.8,5.8,340,1008,27.4,6.2,6.2,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-01T20:00:00,62.6,62.6,51.8,67.77,0,0,,0,0,9.2,2.2,302.2,1008,27.4,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-01T21:00:00,58.6,58.6,49.6,72,0,0,,0,0,11.4,2.2,160,1008.1,27.4,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-01T22:00:00,55.4,55.4,48.2,76.68,0,0,,0,0,3.4,2.2,180,1008,27.4,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-01T23:00:00,55.4,55.4,48.2,76.68,0,0,,0,0,5.8,2.2,127.4,1007,27.4,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-02T00:00:00,53.2,53.2,47.8,81.58,0,0,,0,0,5.8,4.7,215,1007.2,27.4,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-02T01:00:00,53.6,53.6,46.4,76.52,0,0,,0,0,6.5,3.4,240,1006,27.4,6.2,0,0,0,,Partially cloudy,partly-cloudy-night,"GMMW,60340099999"
Taourirt,2025-04-02T02:00:00,51.8,51.8,46.4,81.75,0,0,,0,0,6.9,2.2,280,1006,0.3,6.2,0,0,0,,Clear,clear-night,"GMMW,60340099999"
Taourirt,2025-04-02T03:00:00,50.3,50.3,44.9,81.64,0,0,,0,0,8.1,6.9,300,1005.3,0,6.2,0,0,0,,Clear,clear-night,"GMMW,60340099999"
Taourirt,2025-04-02T04:00:00,50,49.4,44.6,81.62,0,0,,0,0,7.4,3.4,230,1004,0,6.2,0,0,0,,Clear,clear-night,"GMMW,60340099999"
Taourirt,2025-04-02T05:00:00,51.8,51.8,46.4,81.75,0,0,,0,0,7.4,4.7,280,1005,0.5,6.2,0,0,0,,Clear,clear-night,"GMMW,60340099999"
Taourirt,2025-04-02T06:00:00,48.5,46.6,45,87.89,0,0,,0,0,6.9,4.7,210,1005.2,0.3,6.2,0,0,0,,Clear,clear-day,"GMMW,60340099999"
Taourirt,2025-04-02T07:00:00,53.6,53.6,46.4,76.52,0,0,,0,0,6.7,2.2,154.2,1005,0.5,6.2,64.9,0.2,1,,Clear,clear-day,"GMMW,60340099999"
Taourirt,2025-04-02T08:00:00,60.8,60.8,48.2,63.17,0,0,,0,0,8.3,4.7,170,1005,2.1,6.2,265,1,3,,Clear,clear-day,"GMMW,60340099999"
Taourirt,2025-04-02T09:00:00,64.8,64.8,47.8,54.09,0,0,,0,0,8.1,4,330,1005.8,0.8,6.2,484.1,1.7,5,,Clear,clear-day,"GMMW,60340099999"
Taourirt,2025-04-02T10:00:00,68,68,46.4,45.91,0,0,,0,0,14.1,5.8,60,1006,0.5,6.2,676.1,2.4,7,,Clear,clear-day,"GMMW,60340099999"
Taourirt,2025-04-02T11:00:00,71.6,71.6,46.4,40.6,0,0,,0,0,14.3,5.8,238,1005,73.3,6.2,825.8,3,8,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-02T12:00:00,72.8,72.8,49.8,44.35,0,0,,0,0,21.9,16.7,40,1004.6,12,6.2,890.5,3.2,9,,Clear,clear-day,"GMMW,60340099999"
Taourirt,2025-04-02T13:00:00,71.6,71.6,50,46.47,0,0,,0,0,15,17.2,40,1005,17.6,6.2,870.6,3.1,9,,Clear,clear-day,"GMMW,60340099999"
Taourirt,2025-04-02T14:00:00,69.8,69.8,51.8,52.8,0,0,,0,0,16.1,16.1,50,1005,27.4,6.2,748.4,2.7,7,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-02T15:00:00,69.4,69.4,51.4,52.75,0,0,,0,0,25.3,16.1,50,1004.7,27.4,6.2,692.2,2.5,7,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-02T16:00:00,68,68,50,52.54,0,0,,0,0,16.1,16.1,60,1005,27.4,6.2,518.2,1.9,5,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-02T17:00:00,66.2,66.2,50,55.91,0,0,,0,0,17,15,40,1005,27.4,6.2,327.5,1.2,3,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-02T18:00:00,64.7,64.7,51.4,62.23,0,0,,0,0,21.9,12.8,45,1005.2,27.4,6.2,158.3,0.6,2,,Partially cloudy,partly-cloudy-day,"GMMW,60340099999"
Taourirt,2025-04-02T19:00:00,62.6,62.6,51.8,67.77,0,0,,0,0,21.5,11.4,60,1006,2.1,6.2,14,0.1,0,,Clear,clear-night,"GMMW,60340099999"
Taourirt,2025-04-02T20:00:00,60.8,60.8,53.6,77.15,0,0,,0,0,20.4,6.9,60,1007,1.8,6.2,0,0,0,,Clear,clear-night,"GMMW,60340099999"
Taourirt,2025-04-02T21:00:00,60.2,60.2,51.9,74.06,0,0,,0,0,17.2,2.2,80,1007.3,0.8,6.2,0,0,0,,Clear,clear-night,"GMMW,60340099999"
Taourirt,2025-04-02T22:00:00,55.4,55.4,50,82.01,0,0,,0,0,15.2,3.4,250,1008,0.8,6.2,0,0,0,,Clear,clear-night,"GMMW,60340099999"
